name,code,start_date,end_date,is_current,is_active
FY 1995-96,FY9596,1995-04-01,1996-03-31,false,true
FY 1996-97,FY9697,1996-04-01,1997-03-31,false,true
FY 1997-98,FY9798,1997-04-01,1998-03-31,false,true
FY 1998-99,FY9899,1998-04-01,1999-03-31,false,true
FY 1999-00,FY9900,1999-04-01,2000-03-31,false,true
FY 2000-01,FY0001,2000-04-01,2001-03-31,false,true
FY 2001-02,FY0102,2001-04-01,2002-03-31,false,true
FY 2002-03,FY0203,2002-04-01,2003-03-31,false,true
FY 2003-04,FY0304,2003-04-01,2004-03-31,false,true
FY 2004-05,FY0405,2004-04-01,2005-03-31,false,true
FY 2005-06,FY0506,2005-04-01,2006-03-31,false,true
FY 2006-07,FY0607,2006-04-01,2007-03-31,false,true
FY 2007-08,FY0708,2007-04-01,2008-03-31,false,true
FY 2008-09,FY0809,2008-04-01,2009-03-31,false,true
FY 2009-10,FY0910,2009-04-01,2010-03-31,false,true
FY 2010-11,FY1011,2010-04-01,2011-03-31,false,true
FY 2011-12,FY1112,2011-04-01,2012-03-31,false,true
FY 2012-13,FY1213,2012-04-01,2013-03-31,false,true
FY 2013-14,FY1314,2013-04-01,2014-03-31,false,true
FY 2014-15,FY1415,2014-04-01,2015-03-31,false,true
FY 2015-16,FY1516,2015-04-01,2016-03-31,false,true
FY 2016-17,FY1617,2016-04-01,2017-03-31,false,true
FY 2017-18,FY1718,2017-04-01,2018-03-31,false,true
FY 2018-19,FY1819,2018-04-01,2019-03-31,false,true
FY 2019-20,FY1920,2019-04-01,2020-03-31,false,true
FY 2020-21,FY2021,2020-04-01,2021-03-31,false,true
FY 2021-22,FY2122,2021-04-01,2022-03-31,false,true
FY 2022-23,FY2223,2022-04-01,2023-03-31,false,true
FY 2023-24,FY2324,2023-04-01,2024-03-31,false,true
FY 2024-25,FY2425,2024-04-01,2025-03-31,true,true
