name,code,category,unit,mrp_price,selling_price,gst_rate,cess_rate,reorder_level,danger_level,min_stock,max_stock,tags,composition,hsn_code,hsn_id,schedule,manufacturer
Montelukast 248ml,MED55215,Antiviral,Patch,376.47,304.28,5,0,133,48,370,2389,essential,Montelukast 10mg + Excipients,30049000,9389,X,Sun Pharma
Pyrimethamine 523,MED31095,Ophthalmic,Drops,240.93,195.8,28,0,142,33,168,3472,prescription,Pyrimethamine 500mg + Excipients,30044000,2700,H1,Dr. Reddys
Salbutamol 450ml,MED12415,Bronchodilator,Gel,156.6,138.37,12,0,188,36,203,2572,"otc,branded",Salbutamol 500mg + Excipients,30031000,5802,X,Torrent
Metformin 973,MED93929,Antifungal,Cream,243.24,198.88,5,0,128,12,444,1143,"otc,branded",Metformin 100mg + Excipients,30039000,3299,C,Dr. Reddys
Lopinavir 400ml,MED11010,Antibiotic,Inhaler,123.34,108.32,28,2,76,46,204,4500,otc,Lopinavir 500mg + Excipients,30039000,3434,H1,Aurobindo
Sofosbuvir 524ml,MED33506,Antiemetic,Syrup,447.88,404.55,5,0,102,37,348,1523,"generic,branded,otc",Sofosbuvir 10mg + Excipients,30043900,8698,None,Abbott India
Tinidazole 960mg,MED38588,Nasal,Injection,78.82,70.83,28,0,120,28,303,3508,otc,Tinidazole 250mg + Excipients,30032000,7121,H,Bayer India
Salbutamol 875mg,MED30312,Antifungal,Injection,435.27,355.73,5,0,198,42,249,2798,"prescription,essential",Salbutamol 500mg + Excipients,30039000,7297,X,Mankind
Bictegravir 413mg,MED14980,Antibiotic,Capsule,377.68,355.39,28,1,191,21,205,2055,"generic,otc",Bictegravir 500mg + Excipients,30049000,7751,None,Dr. Reddys
Antacid 667mg,MED72268,Antidiabetic,Tablet,60.93,53.38,18,0,120,40,129,1884,essential,Antacid 20mg + Excipients,30042000,1046,H1,Abbott India
Abacavir 279ml,MED58801,Antibiotic,Inhaler,342.88,306.18,18,0,67,23,218,4448,branded,Abacavir 5mg + Excipients,30039000,6888,None,Cipla
Chloroquine 971mg,MED40077,Mineral,Syrup,423.37,339.38,12,0,136,47,274,4598,"prescription,otc,generic",Chloroquine 250mg + Excipients,30042000,4006,C,Torrent
Abacavir 198,MED99391,Analgesic,Inhaler,165.38,148.49,28,0,151,44,208,4555,"generic,prescription,branded",Abacavir 500mg + Excipients,30031000,9973,H1,Dr. Reddys
Hydroxychloroquine 564,MED96629,Analgesic,Patch,68.05,55.94,28,1,104,20,311,3026,"otc,prescription,branded",Hydroxychloroquine 5mg + Excipients,30032000,9165,None,Boehringer Ingelheim India
Paroxetine 349mg,MED85329,Antiemetic,Cream,328.53,301.23,5,0,79,39,268,1182,"otc,generic,prescription",Paroxetine 10mg + Excipients,30034000,9222,H,Aurobindo
Primaquine 246,MED71348,Antihypertensive,Syrup,105.05,91.79,5,0,109,42,427,3173,"otc,essential",Primaquine 20mg + Excipients,30039000,8978,H1,Merck India
Eye Drops 913mg,MED29126,Mineral,Patch,87.96,80.23,28,0,152,46,319,4902,branded,Eye 500mg + Excipients,30033900,8341,None,GSK India
Antidiarrheal 266mg,MED14273,Mineral,Tablet,281.87,244.23,18,0,109,45,239,2472,prescription,Antidiarrheal 10mg + Excipients,30041000,3976,H,Johnson & Johnson India
Thyroxine 205mg,MED36818,Vitamin,Drops,340.21,278.57,28,2,165,31,173,1240,otc,Thyroxine 20mg + Excipients,30043900,7087,H1,Lupin
Eye Drops 295,MED10967,Antiparasitic,Inhaler,267.5,243.59,5,0,146,17,452,4163,"generic,essential",Eye 250mg + Excipients,30031000,1360,C,Torrent
Diclofenac 326mg,MED61192,Antibiotic,Capsule,112.71,104.3,5,0,112,20,127,3759,prescription,Diclofenac 250mg + Excipients,30049000,4620,C,Alkem
Dasabuvir 764mg,MED92705,Otic,Capsule,94.38,87.79,18,0,167,44,484,4649,"otc,branded",Dasabuvir 100mg + Excipients,30042000,8346,X,Sun Pharma
Clarithromycin 124ml,MED84126,Anxiolytic,Syrup,362.22,313.82,28,0,158,36,443,4066,prescription,Clarithromycin 250mg + Excipients,30041000,3795,H1,Sun Pharma
Entecavir 430,MED69379,Antihypertensive,Tablet,454.01,395.83,12,0,73,27,196,4319,essential,Entecavir 250mg + Excipients,30033100,7622,C,AstraZeneca India
